,PC1,PC2,Codice_articolo,Categoria
45,1.6255906292956896,-2.6208264556532956,017.PM152,Vetri
46,2.350222975862007,-2.328729035059309,017.PM152,Vetri
47,1.6311494989411506,-2.033898908355486,017.PM152,Vetri
48,1.8541979996248494,-2.0939245515138176,017.PM152,Vetri
49,2.2672869499069916,-2.2162322555597647,017.PM152,Vetri
50,1.9807113325889383,-2.1098121217739174,017.PM152,Vetri
51,1.9594681900102142,-2.199220422199471,017.PM152,Vetri
52,1.7954558349591816,-1.8342833230885427,017.PM152,Vetri
53,1.1571997167781394,-2.000361284216183,017.PM152,Vetri
54,1.8806890348082,-1.7834222900755046,017.PM152,Vetri
55,2.0759464988293925,-2.342843537066597,017.PM152,Vetri
56,1.838426631198523,-2.0533322502748113,017.PM152,Vetri
57,1.5868601049796938,-2.0214604558724747,017.PM152,Vetri
58,1.6958751570810542,-2.2871131617018343,017.PM152,Vetri
59,2.0622177477952266,-2.162615154443316,017.PM152,Vetri
60,2.0968951967124503,-2.3937002751403496,017.PM152,Vetri
61,1.548615643372908,-1.927878112745716,017.PM152,Vetri
62,2.2398963601649915,-2.3075141565307393,017.PM152,Vetri
63,1.4634886651688266,-2.0134695367544166,017.PM152,Vetri
64,1.3135330329397354,-2.0872490868875326,017.PM152,Vetri
65,2.2415711754358303,-2.316157735607737,017.PM152,Vetri
66,2.086455668862978,-2.110519947409131,017.PM152,Vetri
67,1.5062080473991313,-2.071856579566806,017.PM152,Vetri
68,1.680276428085227,-2.542126235964249,017.PM152,Vetri
69,1.7882763263178756,-2.067347778420052,017.PM152,Vetri
70,1.3090790014929596,-2.3694555281180674,017.PM152,Vetri
71,2.168953202754892,-2.3984869975755503,017.PM152,Vetri
72,1.3644365982531557,-2.4149607631800993,017.PM152,Vetri
73,1.8413760450839252,-1.7721131688978091,017.PM152,Vetri
74,2.010747028674029,-1.893733595056457,017.PM152,Vetri
75,1.8606036142192088,-2.3981647483091235,017.PM152,Vetri
76,1.8771384641997744,-1.8563302695675958,017.PM152,Vetri
77,1.5404292169157663,-2.4914693322342822,017.PM152,Vetri
78,2.1105084762723005,-1.9925427907742461,017.PM152,Vetri
79,1.8759850269409353,-2.867258134527227,017.PM152,Vetri
80,1.6992361421608693,-2.147645403939963,017.PM152,Vetri
